word,E
slump,2.2718232122736195
crank,2.3195820052403278
query,1.997859664047248
drink,2.2573126803930195
favor,2.1454335329421994
tangy,2.364941031455769
panic,2.42245293820137
solar,2.5850760528753622
shire,2.504420366896261
proxy,2.049934920086615
point,2.501134880092155
prick,2.249242838996509
wince,2.2730405622483456
crimp,2.332675803083132
sugar,2.36421159953285
whack,2.051599819320643
mount,2.385518292188689
perky,2.2315833461191867
could,2.329587175976245
wrung,2.142288066537159
light,2.394313999645239
those,2.518445248431469
moist,2.4581466194584585
shard,2.406750655797068
pleat,2.5200604292734488
aloft,2.3943272322106277
frame,2.271890019095207
humor,2.350482527763208
pause,2.402546298193448
ulcer,2.4439252325968077
ultra,2.532200546521028
robin,2.3643310696546918
caulk,2.240872145506453
shake,2.304321547966472
other,2.5606428492609368
thorn,2.53904127203018
trove,2.3642536737131614
bloke,2.170610159712195
chant,2.458841614931714
choke,2.2693144482463623
nasty,2.469396865563524
mourn,2.38703600739637
brine,2.3517427410723686
cloth,2.477807852501329
hoard,2.446325029573612
month,2.408330298718569
lapse,2.4793805436516614
watch,2.264226041511196
today,2.418857987003188
focus,2.2022316276339726
smelt,2.444379741101116
cater,2.553809804661637
movie,2.216894591813418
saute,2.494135763627145
their,2.545100252518048
purge,2.302211169413061
chest,2.4423662966603708
depot,2.4139758959158404
epoxy,2.034723364451368
nymph,2.220048120475886
found,2.159391889218573
stove,2.322056072883693
snout,2.474031664670832
trope,2.5409022811187256
shawl,2.2829039611425976
foray,2.315873381127231
scare,2.5131299190398506
stair,2.5873601144956258
black,2.1056220582489766
squad,1.939142468184684
royal,2.527957713842921
chunk,2.154157479039483
mince,2.373758295223258
shame,2.387754512053095
ample,2.390867171169518
flair,2.3803023506754197
foyer,2.3047825308193515
cargo,2.4212624135144183
oxide,2.082054275955957
plant,2.498458852042692
olive,2.328261191554196
inert,2.58165373215121
askew,2.146259454179116
heist,2.50290265168858
shown,2.2669326801218697
zesty,2.0503229670391447
trash,2.5321593257922723
story,2.5077074767039726
hairy,2.4583928781716984
train,2.5927445824590896
homer,2.431449591157007
badge,2.1290211722667096
midst,2.333843461308497
shine,2.4676072340302566
gecko,2.196027625808305
farce,2.323898813582796
slung,2.3121747984233805
tipsy,2.3990576993197053
metal,2.482456636603216
yield,2.3743978815892675
being,2.205089306135145
scour,2.4336603339204954
gamer,2.3566652904445062
scrap,2.4352342940337195
money,2.368687130928259
hinge,2.3631513999225007
album,2.171578582130575
vouch,2.1327355342038548
crept,2.4648233293476274
bayou,2.219694762098185
manor,2.4790939210980483
creak,2.3411835824710847
showy,2.2044298731259646
peach,2.388853726728774
froth,2.344425698609661
depth,2.3432325104695977
girth,2.413658373216072
piety,2.4260437445139265
float,2.3943272322106277
atone,2.5930756235667305
primo,2.40875475485423
apron,2.5166977137682816
blown,2.131723813593149
loser,2.5739852025674828
input,2.407579488116033
gloat,2.479102503559927
awful,2.070860849155664
brink,2.152810359309382
smite,2.445558290876136
beady,2.176358667342023
rusty,2.41415208472785
gawky,1.9576992358446983
pinto,2.501134880092155
field,2.2422851151646546
voice,2.268903386301007
stead,2.4633879974533066
berth,2.3318373700273383
night,2.3768452403500677
bland,2.2347286564023428
liver,2.3308844186071207
wacky,2.0256504919578995
flock,2.1071195365234203
angry,2.36645874666345
aphid,2.337675252189346
midge,2.2156937867731763
power,2.310991290039884
stomp,2.383205262612893
upset,2.405149288313135
cramp,2.3467209215515767
quart,2.106748739009356
youth,2.380359846005228
rhyme,2.334756878348021
alien,2.5597063684606898
smear,2.4611211245522613
unfit,2.2692579624708884
cling,2.35368301566206
glean,2.43121875731928
hunky,2.133543718001595
poker,2.3282760589281724
gruel,2.375973976483606
twice,2.308335979906669
twang,2.232828265031156
shrug,2.2949656923610515
waste,2.3588856763696686
merit,2.4877558917056035
woven,2.097529549768315
clown,2.2844503410556496
irony,2.496443836079304
gauze,1.9464014636445663
chief,2.2364870826151844
onset,2.5549987280646302
prize,2.0820812185010125
fungi,2.124122242741346
charm,2.3664614896937883
inter,2.5816537321512096
lofty,2.299131997676085
thyme,2.33323916314034
doubt,2.194687306876897
chute,2.3883852784607926
stick,2.298634703600737
trice,2.539764686193192
alike,2.382375563928461
recap,2.4622203392279403
saint,2.5505469816296213
glory,2.3854249842330653
grate,2.4858585485484364
admit,2.371920356810598
brisk,2.147425891345918
scald,2.38207071590138
scorn,2.493025820083537
twine,2.3502250258646877
sting,2.4080142520197656
bough,2.103111359851073
marxh,2.0367829765046817
sloth,2.514312430495883
vigor,2.2161636858230533
howdy,2.119701088752548
enjoy,2.0410136235490466
valid,2.2150488837121145
equal,2.073710525010957
spade,2.3717985320196093
stein,2.539456131321742
exist,2.167888572174617
quirk,1.880077398350358
denim,2.3255340888443947
grove,2.219117953983619
spiel,2.465335425183216
fault,2.300771840234505
flout,2.302269318508949
sneak,2.340875027599634
waltz,1.9521542781810468
aptly,2.4359560450467863
piney,2.390748326855603
inept,2.488546551509832
aloud,2.4041686494729
dream,2.3763923401788447
stale,2.570970009085358
begin,2.205089306135145
rainy,2.4949463578048605
unite,2.485475113122164
medal,2.357047966608012
valet,2.3434118218678845
maple,2.390867171169518
snarl,2.5508861470622826
baker,2.188457055008584
glyph,2.2215744181454453
avert,2.3627561954387177
brave,2.132845204359876
axiom,2.0893605381551112
prime,2.3961664262719067
drive,2.223302406975068
feast,2.3588856763696686
itchy,2.382293689467363
clean,2.499170013432481
tepid,2.398433299172951
study,2.2872256995249653
chafe,2.250532201083629
adore,2.5044800864375314
woken,2.1531414004170237
amber,2.271890019095207
joust,2.0524603168460134
infer,2.351742741072368
braid,2.2727203390433672
naive,2.3092949539845806
spoke,2.2860784580987046
rival,2.341975268915
probe,2.310991290039884
chord,2.371743556076958
taper,2.539404802844281
slate,2.570970009085358
third,2.43338542295041
lunar,2.4969051288627044
poise,2.4820565717011247
extra,2.224131291472531
judge,1.810007484160731
impel,2.376822052701073
havoc,2.2247934479055336
molar,2.49656268039322
manly,2.36305683471823
