word,p,i
slump,0.0004976632983485357,10.97254238442313
crank,0.0005029513406133101,10.957293550197846
gorge,0.0006511162455848375,10.584797244826298
query,3.846490211880295e-05,14.666097837296984
drink,0.0004052422488264595,11.268927788344753
favor,0.00017089051970842594,12.514640015004732
abbey,0.00044671601875564336,11.128354390489275
tangy,0.0004426395914767995,11.14157988215496
panic,0.0006045973809321603,10.691737650210637
solar,0.004731829335851857,7.723386244112092
shire,0.002543318818348282,8.61907196191061
proxy,5.266403763895394e-05,14.212822340474185
point,0.0007012590082050564,10.47776498119445
robot,0.0008647044224530916,10.175505311695728
prick,0.00022848288692092273,12.095626266252458
wince,0.0003531537886575791,11.467415805635195
crimp,0.0002972665852831797,11.715955075589306
knoll,0.00047723391396550417,11.033015809753262
sugar,0.0014595189584026202,9.420291333831633
whack,8.089047643933458e-05,13.59367061606488
mount,0.00047283295865185,11.046381777988453
perky,0.0003842923822079367,11.345508001274572
could,0.0004102960873611358,11.251046982988026
wrung,0.00013226177057497495,12.884316259520178
light,0.0002799453895536559,11.802566959180089
those,0.00214968215850506,8.861660918915364
moist,0.001480802471905892,9.399405076045856
shard,0.0015220588683960029,9.359760125885963
pleat,0.0017002248105306126,9.20005876677299
aloft,0.0006119231444579968,10.674361913023757
skill,0.0009315801450426102,10.068032488126278
elder,0.0028604061969874236,8.44956425067656
frame,0.0006908440328289465,10.499352339648137
humor,0.00037303786332338294,11.388390308166649
pause,0.0026003575103534815,8.587074298732784
ulcer,0.001019823445129413,9.937464874507928
ultra,0.0015082831591433318,9.372876984740376
robin,0.0007292493003075227,10.421300282647254
cynic,0.00023398530058494512,12.061294479823314
aroma,0.002552278982470398,8.613998249983915
caulk,0.0003501204851413224,11.479860904908993
shake,0.0013888175092220362,9.491927243180818
dodge,0.0005694836060069489,10.778058068560584
swill,0.0006667127588562791,10.550647043371132
tacit,0.0010595892010151731,9.8822792392406
other,0.001417520370173717,9.462414817404674
thorn,0.0006927170084109144,10.495446282518872
trove,0.0005606858741180077,10.800519656448653
bloke,0.00047604800399920995,11.036605319378223
vivid,4.224358876403964e-05,14.530908071744417
spill,0.0012211165524913933,9.677583376166133
chant,0.00046317261802899883,11.076162413358418
choke,0.00032905155553471574,11.569398737573291
rupee,0.00183444239157506,9.090442685441653
nasty,0.0017030127139610633,9.19769507906424
mourn,0.0006096892308425009,10.679638316165093
ahead,0.001996094223027043,8.968604461839877
brine,0.001064274459014743,9.875914038335004
cloth,0.000379398497773841,11.363998413131428
hoard,0.0010031459714913739,9.961252731529605
sweet,0.0018908310436385259,9.046763828510757
month,0.00033102192339472155,11.560785610476342
lapse,0.00332469703049303,8.23256140646032
watch,0.00017080010007747997,12.515403559267616
today,0.0009245252734315498,10.078999620919452
focus,0.00033644158700064675,11.537356333732381
smelt,0.0018770140766711284,9.05734481495815
tease,0.009807650408434692,6.671876729267803
cater,0.0021731522557179566,8.845995028286385
movie,0.0003168288354542893,11.624008734555701
saute,0.004188773661015974,7.899256353895666
allow,0.0006532919976494248,10.57998441166436
renew,0.0011460151303658542,9.769158193132986
their,0.0013006339273578557,9.58656932222328
slosh,0.0022954133837278733,8.767030290958091
purge,0.0004957082440823991,10.97822112720098
chest,0.0010541975245933906,9.889639075132386
depot,0.0009187524622629856,10.088036168275165
epoxy,7.681913245569454e-05,13.668174803316266
nymph,0.00010656311674197668,13.196004195683452
found,0.0001894397679094744,12.365973160974464
shall,0.0016446511828936568,9.248002652113076
stove,0.0008502850791270016,10.199765757959343
lowly,0.00024834171113949415,11.975385784566162
snout,0.0015005545152716718,9.38028855154167
trope,0.0015647628029910573,9.319840304107316
fewer,0.0004065576117779044,11.264252573775703
shawl,0.0005427560298302654,10.847408530781074
natal,0.00235302636364149,8.731266799849234
comma,0.0004384450107298676,11.155316466690216
foray,0.0005134321994207158,10.92753860352724
scare,0.004249480896082143,7.878497667973715
stair,0.0042272495109083605,7.886065015556576
black,0.00021821395889867954,12.161968987375687
squad,6.17677811809461e-05,13.982785967231639
royal,0.0016172074945316475,9.272279490125726
chunk,0.00010022822203628609,13.284423583003102
mince,0.0006420040150182087,10.60513005972719
shame,0.001806914487608043,9.112256052517667
cheek,0.00048022146350636233,11.024012493261042
ample,0.00104763027104312,9.898654632907101
flair,0.0007239747711192692,10.431772956019003
foyer,0.0005492866725171128,10.830153091746798
cargo,0.0007568165638584661,10.367768715376684
oxide,0.00016576612937552274,12.55856312527225
plant,0.0008308696433282604,10.233090231887187
olive,0.0005281046255670853,10.886888601795713
inert,0.0021257426570960264,8.877817330221724
askew,0.0008370396607811217,10.222416397088463
heist,0.0019724228358319155,8.98581542373397
shown,0.00035606444540645956,11.455573996071678
zesty,0.0002557910874841969,11.932746382203842
trash,0.0020103916178029154,8.958307723541473
larva,0.0007342809698172888,10.411380169071409
forgo,0.000286231308721362,11.770530893136135
story,0.0017513560355484619,9.157311883639771
hairy,0.0008124965346445746,10.265350719704685
train,0.0019869856350851955,8.975202842002165
homer,0.0008734358188496135,10.161010683538786
badge,0.0005137301471940841,10.92670164179757
midst,0.0008699003509736535,10.166862233059371
canny,0.0005059188777235069,10.948806307057826
shine,0.0018129365009214142,9.107455889866888
gecko,0.000297382274368229,11.715393722216866
farce,0.0007086054219964822,10.46272987506202
slung,0.0006077828208186322,10.68415648236287
tipsy,0.0007736519021390236,10.336027795118854
metal,0.0016875702930678651,9.210836688069984
yield,0.0009320892040479412,10.067244347331737
delve,0.0004934511842256267,10.984805009678373
being,0.0004194990189103415,11.219044942936414
scour,0.0013304425915096427,9.553878025133386
glass,0.0028299170027715624,8.465024543069859
gamer,0.0010768216706038235,9.859004935650551
scrap,0.0014025747614547308,9.47770661179211
money,0.000739891815682901,10.400398039061553
hinge,0.00047121049981754896,11.05134069295761
album,0.0003608500260063769,11.436313020811127
vouch,6.600758757476123e-05,13.887008602582346
asset,0.010196583377781288,6.61577036793641
tiara,0.003800600530735669,8.03955688866841
crept,0.0007673548700967668,10.347818460324339
bayou,0.0004911214475504527,10.99163255233483
atoll,0.001927434033960815,9.019102799622244
manor,0.0013343527250197216,9.549644203317671
creak,0.0010291991706122996,9.924262085083647
showy,0.0002588978463009266,11.915329415639723
peach,0.000588386231168507,10.730948893081338
froth,0.0002457466442764752,11.990540663161587
depth,0.00040091016535112096,11.284433381078669
gloom,0.0004308247917231556,11.18061110769209
flood,0.00033961432931029156,11.523815047900053
trait,0.0021617832941860475,8.853562375869247
girth,0.000351461001602228,11.474347763982607
piety,0.000744142141821147,10.392134156450247
goose,0.00250382396624558,8.64165114888991
float,0.0006119231444579967,10.674361913023757
donor,0.0012018716302420942,9.700501472059855
atone,0.0031588150839447254,8.306400800025642
primo,0.000606175465029147,10.687976919372284
apron,0.0013443585836968915,9.538866282020678
blown,0.000166492944333228,12.552251339737275
cacao,0.0012831516052300071,9.606092648769152
loser,0.005062266826547725,7.62600073233165
input,0.00043709716414112854,11.159758361510065
gloat,0.0009538073304304805,10.034014509026171
awful,0.00012927788261797343,12.91723690538149
brink,0.0002679827774497554,11.865572094113546
smite,0.002161099433390955,8.854018831733605
beady,0.0006755217844597534,10.531710084720483
rusty,0.0010916262715812948,9.839305263955383
retro,0.003250147937951122,8.265278897446839
droll,0.0010702642595973296,9.867817227344208
gawky,7.730449955750406e-05,13.659088084861423
hutch,0.00012948669458960445,12.914908518207394
pinto,0.0007012590082050563,10.47776498119445
egret,0.001869640287222776,9.063023557735999
lilac,0.0011177159362542111,9.805230705988842
sever,0.0016000846523959097,9.287636051823734
field,0.00045476747338240285,11.102583308406409
fluff,2.3066674072656836e-05,15.403830474091478
agape,0.0014792022206356237,9.400964988976082
voice,0.00032497440808514403,11.587386269969585
stead,0.003947841733102155,7.984720130593569
berth,0.0005506730861852825,10.826516280186983
madam,0.0007164756353112884,10.446794734954903
night,0.0002505295340317904,11.962731691938886
bland,0.0005073182225315618,10.944821397507837
liver,0.0005283751016877342,10.886149894641381
wedge,0.00037207961330294466,11.392101033945966
roomy,0.0007112279517194225,10.457400355417523
wacky,9.612864717702613e-05,13.344674043631368
flock,0.00010418189044101172,13.22860785856985
angry,0.0005707567273596884,10.774836420331601
trite,0.0023127469482947787,8.756176864088804
aphid,0.00044313421897927105,11.139968643008688
tryst,0.001358926706200215,9.523316638308799
midge,0.00042526329583524703,11.199356037168814
power,0.0005303667982415233,10.880721916149435
elope,0.0023442326975728306,8.736668500323521
cinch,0.00019689429738110935,12.310291052256824
motto,0.0008253262048732847,10.24274793153992
stomp,0.0007773903013270955,10.329073270733396
upset,0.0014790845234411581,9.40107978593362
bluff,3.541715037269272e-05,14.785192335429123
cramp,0.0004419590007824443,11.143799838238893
quart,5.379801756584507e-05,14.182087463376462
coyly,0.00030132380516700305,11.69639772639888
youth,0.00031378547889288934,11.637933789556861
